window_start_utc,nll,mean_std
2018-02-21 10:08:00+00:00,1202743.5279518708,12.913341522216797
2018-02-21 10:25:00+00:00,513122.15407399525,10.72489070892334
2018-02-21 10:31:00+00:00,490310.6584775771,10.72489070892334
2018-02-21 10:29:00+00:00,486375.16801045154,10.72489070892334
2018-02-21 10:27:00+00:00,474913.87820644275,10.72489070892334
2018-02-21 10:10:00+00:00,452484.507749221,10.908748626708984
2018-02-21 10:33:00+00:00,450017.33865878236,10.72489070892334
2018-02-21 10:21:00+00:00,446784.3043478035,10.72489070892334
2018-02-21 10:12:00+00:00,442454.23334419605,11.30069351196289
2018-02-21 10:23:00+00:00,442101.9221712562,10.72489070892334
2018-02-21 10:09:00+00:00,436021.3159648764,8.84038257598877
2018-02-21 10:35:00+00:00,419312.54986718175,10.72489070892334
2018-02-21 10:37:00+00:00,372278.1754814821,10.72489070892334
2018-02-21 10:39:00+00:00,360537.79777637933,10.72489070892334
2018-02-21 10:19:00+00:00,356871.9103445324,11.322297096252441
2018-02-21 10:16:00+00:00,289936.41320864734,11.322256088256836
2018-02-21 10:42:00+00:00,284188.2102191046,10.974308013916016
2018-02-21 10:14:00+00:00,277926.45746881765,11.320012092590332
2018-02-21 10:17:00+00:00,277642.2010757622,11.322291374206543
2018-02-21 10:41:00+00:00,231189.83675587625,10.72489070892334
